indicator,type,risk,stamp_added,stamp_updated,stamp_seen,stamp_retired,reference,geo_city,geo_country,geo_countrycode,geo_org,dns_ptr
tm2whi2dl8g9xhhem8.myvnc.com,domain,none,,"2022-08-26 02:04:46","2022-08-26 02:04:46",,https://pulsedive.com/indicator/?iid=38377116,,,,,
xko4c4awl6fnc.myvnc.com,domain,none,,"2022-08-26 02:04:57","2022-08-26 02:04:57",,https://pulsedive.com/indicator/?iid=38377117,,,,,
v6nwsvmkahaeiaqd6a.hopto.org,domain,none,,"2022-08-26 02:05:00","2022-08-26 02:05:00",,https://pulsedive.com/indicator/?iid=38377118,,,,,
klwudvhdj6q.servehalflife.com,domain,none,,"2022-08-26 02:05:37","2022-08-26 02:05:37",,https://pulsedive.com/indicator/?iid=38377119,,,,,
iyaax6qjskgc8w.freedynamicdns.net,domain,none,,"2022-08-26 02:06:18","2022-08-26 02:06:18",,https://pulsedive.com/indicator/?iid=38377155,Reno,"United States of America",US,,
uap6afeydhyuimhca.freedynamicdns.net,domain,none,,"2022-08-26 02:06:27","2022-08-26 02:06:27",,https://pulsedive.com/indicator/?iid=38377156,Reno,"United States of America",US,,
dddiwnoxixvgikz.serveftp.com,domain,none,,"2022-08-26 02:06:33","2022-08-26 02:06:33",,https://pulsedive.com/indicator/?iid=38377157,,,,,
bq9tjyebqvl5qma.zapto.org,domain,none,,"2022-08-26 02:06:52","2022-08-26 02:06:52",,https://pulsedive.com/indicator/?iid=38377158,,,,,
ewo1wvq0dceouxv.serveminecraft.net,domain,none,,"2022-08-26 02:07:33","2022-08-26 02:07:33",,https://pulsedive.com/indicator/?iid=38377159,,,,,
aanlndhara.myddns.me,domain,none,,"2022-08-26 02:07:38","2022-08-26 02:07:38",,https://pulsedive.com/indicator/?iid=38377160,,"United States of America",US,,
5yezwbmuwr2vaann7b.serveirc.com,domain,none,,"2022-10-14 21:45:34","2022-10-14 21:45:34",,https://pulsedive.com/indicator/?iid=40001236,,,,,
cn6ly2hbmon3ep.myddns.me,domain,none,,"2022-10-28 21:58:14","2022-10-28 21:58:14",,https://pulsedive.com/indicator/?iid=40628957,,"United States of America",US,,
