indicator,type,risk,stamp_added,stamp_updated,stamp_seen,stamp_retired,city,country,countrycode,org,reference
deftsecurity.com,domain,critical,,"2022-03-10 09:26:28","2022-03-10 09:26:28",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=19390799
panhardware.com,domain,critical,,"2022-03-10 11:09:36","2022-03-10 11:09:36",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=19390802
databasegalore.com,domain,critical,,"2022-03-10 10:17:00","2022-03-10 10:17:00",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=19390804
highdatabase.com,domain,critical,,"2022-03-10 09:35:51","2022-03-10 09:35:51",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=19390930
freescanonline.com,domain,critical,,"2022-03-10 09:30:15","2022-03-10 09:30:15",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=19390934
websitetheme.com,domain,critical,,"2022-03-10 11:09:43","2022-03-10 11:09:43",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=19390936
thedoccloud.com,domain,critical,,"2022-03-10 10:30:24","2022-03-10 10:30:24",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=19391179
incomeupdate.com,domain,critical,,"2022-03-10 09:34:16","2022-03-10 09:34:16",,Jacksonville,"United States of America",US,,https://pulsedive.com/indicator/?iid=19408491
lcomputers.com,domain,low,,"2022-03-10 10:30:25","2022-03-10 10:30:25",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=19443249
topservicebin.com,domain,medium,,"2022-02-23 10:20:02","2022-02-23 10:20:02",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=21123479
ns2.topservicebin.com,domain,low,,"2022-01-12 15:11:29","2022-01-12 15:11:29",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=21142689
ns1.topservicebin.com,domain,low,,"2022-01-12 15:11:36","2022-01-12 15:11:36",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=21142703
boostetits.com,domain,high,,"2022-02-26 08:30:01","2022-02-26 08:30:01",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=21315049
jobsmarc.com,domain,medium,,"2022-02-23 14:12:18","2022-02-23 14:12:18",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=21315067
firstaholic.com,domain,medium,,"2022-02-21 17:36:56","2022-02-21 17:36:56",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=21468647
ns1.firstaholic.com,domain,low,,"2021-12-22 04:00:10","2021-12-22 04:00:10",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=21468673
mail.firstaholic.com,domain,low,,"2021-12-22 04:00:58","2021-12-22 04:00:58",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=21468678
ns2.firstaholic.com,domain,low,,"2021-12-22 04:00:23","2021-12-22 04:00:23",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=21468687
p.estonine.com,domain,low,,"2021-12-15 10:38:52","2021-12-15 10:38:52",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=22599804
estonine.com,domain,low,,"2021-12-15 10:38:40","2021-12-15 10:38:40",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=22599806
virtualwebdata.com,domain,low,,"2022-03-10 11:09:52","2022-03-10 11:09:52",,,,,,https://pulsedive.com/indicator/?iid=23957503
solartrackingsystem.net,domain,low,,"2022-03-10 09:37:54","2022-03-10 09:37:54",,,,,,https://pulsedive.com/indicator/?iid=23957511
lukki6nd2kdnc.info,domain,low,,"2022-03-01 22:43:36","2022-03-01 22:43:36",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=25195749
theyardservice.com,domain,low,,"2022-01-12 15:11:24","2022-01-12 15:11:24",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=25232498
worldhomeoutlet.com,domain,low,,"2022-02-14 23:05:03","2022-02-14 23:05:02",,[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=25232504
timechk24.com,domain,medium,,"2021-12-14 01:34:28","2021-12-14 01:34:28",,"GDPR Masked",France,FR,,https://pulsedive.com/indicator/?iid=25515620
