indicator,type,risk,stamp_added,stamp_updated,stamp_seen,stamp_retired,reference,geo_city,geo_country,geo_countrycode,geo_org,dns_ptr
deftsecurity.com,domain,critical,,"2026-09-09 21:21:48","2026-09-09 21:21:48",,https://pulsedive.com/indicator/?iid=19390799,,"United States of America",US,,
panhardware.com,domain,critical,,"2026-09-09 21:21:27","2026-09-09 21:21:27",,https://pulsedive.com/indicator/?iid=19390802,,"United States of America",US,,
databasegalore.com,domain,critical,,"2026-09-09 21:21:47","2026-09-09 21:21:46",,https://pulsedive.com/indicator/?iid=19390804,[privacy],[privacy],,[privacy],
highdatabase.com,domain,critical,,"2026-09-09 21:21:50","2026-09-09 21:21:50",,https://pulsedive.com/indicator/?iid=19390930,,"United States of America",US,,
freescanonline.com,domain,critical,,"2026-09-09 21:21:25","2026-09-09 21:21:25",,https://pulsedive.com/indicator/?iid=19390934,[privacy],[privacy],,[privacy],
websitetheme.com,domain,critical,,"2026-09-09 21:21:56","2026-09-09 21:21:56",,https://pulsedive.com/indicator/?iid=19390936,,"United States of America",US,,
zupertech.com,domain,critical,,"2026-09-09 21:21:53","2026-09-09 21:21:53",,https://pulsedive.com/indicator/?iid=19391171,,"United States of America",US,,
thedoccloud.com,domain,critical,,"2026-09-09 21:21:56","2026-09-09 21:21:56",,https://pulsedive.com/indicator/?iid=19391179,,"United States of America",US,,
incomeupdate.com,domain,critical,,"2026-09-09 21:21:51","2026-09-09 21:21:51",,https://pulsedive.com/indicator/?iid=19408491,[privacy],[privacy],,[privacy],
ropmibwbwfkevluntsfv.com,domain,low,,"2026-09-02 20:42:08","2026-09-02 20:42:08",,https://pulsedive.com/indicator/?iid=19801609,"San Mateo","United States",US,,
digitalcollege.org,domain,medium,,"2026-09-09 21:21:36","2026-09-09 21:21:36",,https://pulsedive.com/indicator/?iid=27786118,,"United States of America",US,,
virtualdataserver.com,domain,medium,,"2026-09-09 21:21:49","2026-09-09 21:21:49",,https://pulsedive.com/indicator/?iid=30543386,[privacy],[privacy],,[privacy],
antigutation.info,domain,high,,"2026-09-09 21:18:59","2026-09-09 21:18:59",,https://pulsedive.com/indicator/?iid=53931756,"Los Angeles","United States",,,
minixetepate.biz,domain,medium,,"2026-09-09 21:20:12","2026-09-09 21:20:12",,https://pulsedive.com/indicator/?iid=53932097,Kirkland,"United States of America",US,,
recepatission.info,domain,high,,"2026-09-09 21:20:53","2026-09-09 21:20:53",,https://pulsedive.com/indicator/?iid=53932287,Kyiv,Ukraine,UA,,
