indicator,type,risk,stamp_updated,stamp_seen,city,country,countrycode,org,reference
differentia.ru,domain,low,"2021-10-23 01:43:06","2021-09-14 04:04:30",,,,,https://pulsedive.com/indicator/?iid=2664022
u7zywp.com,domain,none,"2021-08-21 04:08:02","2021-08-21 04:08:02",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=25230026
xdqzpbcgrvkj.ru,domain,none,"2021-09-22 05:30:53","2021-09-22 05:30:53",,,,,https://pulsedive.com/indicator/?iid=25231151
tsvydyoaajjyfav.com,domain,none,"2021-08-21 04:25:23","2021-08-21 04:25:23",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=25232948
kgffsoyvqqwlvad.com,domain,none,"2021-09-14 04:02:56","2021-09-14 04:02:56",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=25232950
jejfeowmtwrkhaa.com,domain,none,"2021-09-14 04:12:21","2021-09-14 04:12:21",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=25232954
designthefuture.ru,domain,none,"2021-10-24 13:26:56","2021-09-14 04:12:52",,,,,https://pulsedive.com/indicator/?iid=25515570
gfvi.u7zywp.com,domain,none,"2021-08-21 04:08:05","2021-08-21 04:08:05",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=27785919
irwgs.rocks,domain,none,"2021-08-21 04:17:48","2021-08-21 04:17:47",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=27785922
www.ayitihnddgxdvms.com,domain,none,"2021-08-21 04:21:02","2021-08-21 04:21:02",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=27785934
ayitihnddgxdvms.com,domain,unknown,"2021-08-21 04:21:00","2021-08-21 04:20:59",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=27785935
hc6jg.rocks,domain,none,"2021-08-21 04:25:02","2021-08-21 04:25:02",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=27785937
www.tsvydyoaajjyfav.com,domain,none,"2021-08-21 04:25:24","2021-08-21 04:25:24",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=27785939
www.kgffsoyvqqwlvad.com,domain,none,"2021-08-21 04:25:48","2021-08-21 04:25:48",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=27785941
erp.kgffsoyvqqwlvad.com,domain,none,"2021-09-14 04:03:13","2021-09-14 04:03:12",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=28041713
gge8d.rocks,domain,unknown,"2021-10-25 12:42:09","2021-09-14 04:04:02",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=28041715
wwww.differentia.ru,domain,none,"2021-09-14 04:04:42","2021-09-14 04:04:41",,,,,https://pulsedive.com/indicator/?iid=28041717
docs.jejfeowmtwrkhaa.com,domain,none,"2021-09-14 04:12:34","2021-09-14 04:12:34",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=28041719
xsso.designthefuture.ru,domain,none,"2021-09-14 04:12:59","2021-09-14 04:12:59",,,,,https://pulsedive.com/indicator/?iid=28041721
autoconfig.wcqbjsjvkjxyula.us,domain,none,"2021-09-14 04:13:43","2021-09-14 04:13:43",,,,,https://pulsedive.com/indicator/?iid=28041723
wcqbjsjvkjxyula.us,domain,unknown,"2021-09-14 04:13:37","2021-09-14 04:13:37",,,,,https://pulsedive.com/indicator/?iid=28041724
tneeo.rocks,domain,none,"2021-09-22 05:29:44","2021-09-22 05:29:44",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=28114403
xsso.thewold.xdqzpbcgrvkj.ru,domain,none,"2021-09-22 05:30:02","2021-09-22 05:30:02",,,,,https://pulsedive.com/indicator/?iid=28114405
thewold.xdqzpbcgrvkj.ru,domain,unknown,"2021-09-22 05:30:55","2021-09-22 05:30:55",,,,,https://pulsedive.com/indicator/?iid=28114406
www.thewold.xdqzpbcgrvkj.ru,domain,none,"2021-09-22 05:30:56","2021-09-22 05:30:56",,,,,https://pulsedive.com/indicator/?iid=28114410
75eat.rocks,domain,none,"2021-10-25 17:29:47","2021-09-26 04:15:58",[privacy],[privacy],,[privacy],https://pulsedive.com/indicator/?iid=28298146
